time,Real Lower Band,Real Middle Band,Real Upper Band
2004-08-19,83.3961,87.0928,90.7894
2004-08-18,83.5109,86.9342,90.3575
2004-08-17,83.6349,87.0469,90.4590
2004-08-16,83.6509,87.0931,90.5352
2004-08-13,83.4919,87.0269,90.5620
2004-08-12,83.3298,86.9825,90.6352
2004-08-11,82.1049,86.7111,91.3173
2004-08-10,80.8590,86.3972,91.9355
2004-08-09,80.1670,85.9850,91.8030
2004-08-06,79.5751,85.5250,91.4749
2004-08-05,79.4692,85.1781,90.8869
2004-08-04,78.7580,84.6178,90.4776
2004-08-03,78.4642,84.2167,89.9692
2004-08-02,78.1279,83.9958,89.8637
2004-07-30,77.6745,83.7908,89.9072
2004-07-29,77.4308,83.5672,89.7036
2004-07-28,77.3447,83.3728,89.4009
2004-07-27,76.5099,82.9622,89.4145
2004-07-26,75.2780,82.3183,89.3587
2004-07-23,73.7649,81.6575,89.5501
2004-07-22,72.8876,81.0736,89.2597
2004-07-21,70.8005,80.1583,89.5162
2004-07-20,69.7775,79.2864,88.7953
2004-07-19,67.5802,79.8214,92.0626
2004-07-16,64.9807,80.7067,96.4327
2004-07-15,60.7846,82.2014,103.6183
2004-07-14,57.0039,84.2189,111.4340
2004-07-13,54.9189,86.2581,117.5973
2004-07-12,54.0571,88.0695,122.0818
2004-07-09,53.0228,90.2278,127.4328
2004-07-08,51.8300,92.5514,133.2728
2004-07-07,51.5257,95.2250,138.9243
2004-07-06,52.0490,97.6675,143.2860
2004-07-05,53.4012,99.8778,146.3543
2004-07-02,55.4761,101.9875,148.4989
2004-07-01,57.6022,104.2261,150.8500
2004-06-30,60.0512,106.3175,152.5838
2004-06-29,63.5686,108.9522,154.3358
2004-06-28,68.3704,111.6580,154.9457
2004-06-25,73.9959,114.9372,155.8786
2004-06-24,80.3694,118.2097,156.0501
2004-06-23,90.7187,121.4231,152.1274
2004-05-18,104.2448,124.4500,144.6552
2004-05-17,109.4792,126.0833,142.6875
2004-05-14,114.5364,127.6705,140.8047
2004-05-13,116.7843,128.7333,140.6823
2004-05-12,117.7016,129.5021,141.3027
2004-05-11,119.0084,130.1055,141.2026
2004-05-10,121.3795,130.9999,140.6204
2004-05-07,122.3243,131.6121,140.9000
2004-05-06,122.5593,131.8710,141.1827
2004-05-05,122.5874,132.0165,141.4457
2004-05-04,122.6651,132.0588,141.4525
2004-05-03,123.3963,132.3127,141.2291
2004-04-30,124.6318,132.5832,140.5346
2004-04-29,124.1058,132.4715,140.8373
2004-04-28,123.9251,132.4360,140.9468
2004-04-27,123.6120,132.3154,141.0189
2004-04-23,123.3918,132.2404,141.0891
2004-04-22,122.6696,131.5610,140.4524
2004-04-21,122.4205,130.8265,139.2326
2004-04-20,121.5053,130.3738,139.2423
2004-04-19,120.6970,130.0066,139.3162
2004-04-16,120.1591,129.6860,139.2129
2004-04-15,120.0093,129.3144,138.6194
2004-04-13,119.6555,128.7666,137.8777
2004-04-12,119.2984,128.0916,136.8848
2004-04-08,119.3057,127.8633,136.4208
2004-04-07,119.4786,127.3833,135.2879
2004-04-06,120.1414,127.0722,134.0029
2004-04-05,120.5576,126.9105,133.2634
2004-04-02,120.7267,126.8694,133.0121
2004-04-01,120.5334,126.9705,133.4076
2004-03-31,120.5454,126.9594,133.3734
2004-03-30,120.4935,127.1167,133.7398
2004-03-29,120.8363,127.4628,134.0893
2004-03-26,121.0818,127.5461,134.0105
2004-03-25,120.9437,127.4506,133.9575
2004-03-24,120.2409,127.1822,134.1236
2004-03-23,119.6261,126.9928,134.3595
2004-03-22,117.7060,126.5205,135.3351
2004-03-19,117.2557,126.3627,135.4698
2004-03-18,116.7839,126.1944,135.6049
2004-03-17,116.3859,126.0138,135.6418
2004-03-16,116.1818,125.8422,135.5026
2004-03-15,115.9347,125.7227,135.5108
2004-03-12,115.0072,125.4377,135.8683
2004-03-11,113.6826,124.8350,135.9874
2004-03-10,112.3816,124.3072,136.2329
2004-03-09,110.7097,123.4256,136.1415
2004-03-08,109.3799,122.4650,135.5502
2004-03-05,108.4386,121.2733,134.1081
2004-03-04,107.8506,120.2344,132.6183
2004-03-03,107.8386,119.4966,131.1547
2004-03-01,107.6314,118.5416,129.4519
2004-02-27,107.7242,117.5533,127.3824
2004-02-26,107.8387,117.0621,126.2856
2004-02-25,108.3346,116.6449,124.9553
2004-02-24,108.2818,116.6766,125.0714
2004-02-23,108.3563,116.5566,124.7569
2004-02-20,107.8397,116.3366,124.8335
2004-02-19,107.5870,115.9521,124.3173
2004-02-18,107.5828,115.6949,123.8071
2004-02-17,107.7300,115.5866,123.4433
2004-02-16,108.2969,115.2583,122.2197
2004-02-13,107.8960,115.3778,122.8595
2004-02-12,105.9431,116.0800,126.2169
2004-02-11,105.2183,116.7122,128.2061
2004-02-10,104.7843,117.4022,130.0201
2004-02-09,104.9073,118.2311,131.5549
2004-02-06,105.4097,118.9989,132.5881
2004-02-05,106.3678,119.4067,132.4456
2004-02-04,106.9441,119.6145,132.2849
2004-02-03,107.0737,119.6751,132.2765
2004-01-30,107.9979,120.0579,132.1178
2004-01-29,109.0194,120.4007,131.7819
2004-01-28,109.2496,120.4935,131.7373
2004-01-27,109.1174,120.4351,131.7528
2004-01-23,108.8660,120.1968,131.5276
2004-01-22,108.7156,120.1124,131.5092
2004-01-21,109.3284,120.2868,131.2452
2004-01-20,108.4058,120.0718,131.7378
2004-01-19,107.3564,119.7746,132.1927
2004-01-16,106.3159,119.3473,132.3787
2004-01-15,103.5918,118.5995,133.6072
2004-01-14,99.6712,117.2106,134.7500
2004-01-13,97.0235,115.4939,133.9643
2004-01-12,95.0638,113.9784,132.8929
2004-01-09,93.3917,112.3861,131.3806
2004-01-08,92.3811,110.8250,129.2690
2004-01-07,91.5727,109.2983,127.0239
2004-01-06,90.0709,108.1528,126.2346
2004-01-05,88.1293,107.0033,125.8773
2004-01-02,86.2295,105.7355,125.2415
2004-01-01,84.8284,104.3122,123.7960
2003-12-31,83.7955,102.9961,122.1966
2003-12-30,82.9096,101.6683,120.4270
2003-12-29,82.4556,100.4327,118.4098
2003-12-26,82.2833,99.0083,115.7332
2003-12-24,82.0405,97.4616,112.8827
2003-12-23,81.8448,95.9616,110.0784
2003-12-22,80.8226,94.6905,108.5585
2003-12-19,79.9656,93.2883,106.6110
2003-12-18,79.9730,91.7855,103.5981
2003-12-17,79.2380,90.7706,102.3031
2003-12-16,78.8674,90.2456,101.6237
2003-12-15,78.7844,89.8011,100.8178
2003-12-12,78.8570,89.2333,99.6097
2003-12-11,79.1462,88.9494,98.7527
2003-12-10,79.5541,88.7117,97.8692
2003-12-09,79.9784,88.4361,96.8938
2003-12-08,80.3544,88.1733,95.9923
2003-12-05,80.4150,88.1222,95.8295
2003-12-04,80.3237,88.2089,96.0941
2003-12-03,80.1933,88.3439,96.4945
2003-12-02,80.0820,88.4511,96.8202
2003-12-01,79.9916,88.5900,97.1884
2003-11-28,79.9999,88.5295,97.0590
2003-11-27,79.8927,88.4306,96.9684
2003-11-25,79.9333,88.4511,96.9689
2003-11-24,80.2536,88.6178,96.9819
2003-11-21,80.6663,88.7583,96.8504
2003-11-20,81.6467,89.0406,96.4345
2003-11-19,83.0684,89.4133,95.7583
2003-11-18,84.4478,89.7872,95.1266
2003-11-17,84.9140,89.9783,95.0427
2003-11-14,85.1528,90.1622,95.1717
2003-11-13,85.4553,90.2672,95.0792
2003-11-12,84.7642,89.9744,95.1847
2003-11-11,84.1593,89.5883,95.0174
2003-11-10,83.5793,89.2733,94.9674
2003-11-07,83.1008,89.0083,94.9159
2003-11-06,82.5628,88.6361,94.7094
2003-11-05,81.2163,87.9900,94.7637
2003-11-04,79.5928,87.2022,94.8116
2003-11-03,78.6456,86.4633,94.2811
2003-10-31,77.6111,85.6689,93.7266
2003-10-30,76.0457,84.9255,93.8054
